city,coordinates
Nagoya,"35.183334,136.899994"
Kitakyushu,"33.883331,130.883331"
Sendai,"38.268223,140.869415"
Hiroshima,"34.383331,132.449997"
Kawasaki,"35.516666,139.699997"
Kyoto,"35.011665,135.768326"
Kobe,"34.689999,135.195557"
Fukuoka,"33.583332,130.399994"
Sapporo,"43.066666,141.350006"
Osaka,"34.669529,135.497009"
Yatsushiro,"32.535366,130.598663"
Higashimatsuyama,"36.042126,139.399963"
Nagasaki,"32.764233,129.872696"
Takarazuka,"34.815723,135.361099"
Mishima,"35.120342,138.918198"
Odawara,"35.271053,139.166321"
Matsumoto,"36.237148,137.964951"
Ginowan,"26.281574,127.778633"
Toda,"35.817616,139.677887"
Funabashi,"35.694706,139.982620"
Ise,"34.495380,136.706146"
Nagawa,"36.255486,138.266418"
Tagajo,"38.293839,141.004227"
Akita,"39.720009,140.102570"
Tokyo,"35.652832,139.839478"
Yokohama,"35.443707,139.638031"
Obihiro,"42.923901,143.196106"
Naha,"26.212313,127.679153"
Kadena,"26.359266,127.756744"
